parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
fc_sigma,5,0.02597560528478945,0.020290227578599513,0.02219836988587863,0.00809215041971706,0.053058869524292576,0.95,7.0,glucose,42
fc_sigma,6,0.00961896139353482,0.00805385074565074,0.008258573593530957,0.0032603446340736066,0.01956106538580335,0.95,10.0,glucose,42
rep_mu,1,0.029458514421067655,1.413525927418391e-07,1.0393967797561743e-08,2.220446049250313e-16,0.17675342934389549,0.95,1.0,glucose,42
rep_mu,2,0.03194666404155929,0.012216789033500652,2.4893548444815394e-08,2.220446049250313e-16,0.2102584073297602,0.95,2.0,glucose,42
rep_mu,3,0.02834191513915888,1.509903313490213e-14,5.5143815069769175e-09,2.220446049250313e-16,0.17710234014192505,0.95,3.0,glucose,42
rep_mu,4,0.03115308086681648,9.769962616701378e-15,5.5794538655895565e-08,2.220446049250313e-16,0.1933102019298807,0.95,4.0,glucose,42
rep_mu,5,0.030918881297289556,2.220446049250313e-16,1.8443223948061416e-08,2.220446049250313e-16,0.21002917330468696,0.95,7.0,glucose,42
rep_mu,6,0.029236287190080423,0.0019210668241234075,1.4675476167624879e-08,2.220446049250313e-16,0.1813448208234314,0.95,10.0,glucose,42
rep_sigma,1,16.052499000740543,13.565768941060757,14.501922536421219,7.433239661129836,29.271183491984498,0.95,1.0,glucose,42
rep_sigma,2,43.230265938804855,37.04461421466735,39.69843052781458,19.728575483164928,73.82962975666501,0.95,2.0,glucose,42
rep_sigma,3,74.17539815552088,71.7295645947913,68.94813274110835,36.07694312649017,125.13203079455859,0.95,3.0,glucose,42
rep_sigma,4,83.5943511307477,79.00694674705672,78.41024056147529,42.24046140705504,137.07879007530346,0.95,4.0,glucose,42
rep_sigma,5,221.47776333588706,185.01977523381785,216.50115607154925,148.83001442553362,305.8709744135668,0.95,7.0,glucose,42
rep_sigma,6,262.81177273307105,224.82574478138383,258.98812477883064,183.57721433587812,355.598145833144,0.95,10.0,glucose,42
empirical_F,1,-0.27055447788974885,-0.08754599647133007,-0.2537093153126757,-1.022297382166996,0.3662157911383162,0.95,1.0,glucose,42
empirical_F,2,-1.2656601842067765,-1.0689903083013654,-1.2124508729601797,-2.1449042350589105,-0.4871636818166734,0.95,2.0,glucose,42
empirical_F,3,-2.074246739900921,-1.6428523599022704,-1.988356531925977,-3.1758033415737064,-1.214971775968517,0.95,3.0,glucose,42
empirical_F,4,-2.531029215336256,-2.501383766833522,-2.4852828398173,-3.2252779904525726,-1.8140304811788106,0.95,4.0,glucose,42
empirical_F,5,-3.2305481680902055,-3.1442005116397787,-3.211268656610203,-3.8933359729224053,-2.6175856434665694,0.95,7.0,glucose,42
